PERMNO,ticker,company,sector,industry,country
12872,MPC,MARATHON PETROLEUM CORP,Energy,Oil & Gas Refining & Marketing,United States
59176,AXP,AMERICAN EXPRESS CO,Financial Services,Credit Services,United States
87137,DVN,DEVON ENERGY CORP NEW,Energy,Oil & Gas E&P,United States
22752,MRK,MERCK & CO INC NEW,Healthcare,Drug Manufacturers - General,United States
69032,MS,MORGAN STANLEY DEAN WITTER & CO,Financial Services,Capital Markets,United States
16678,KR,KROGER CO,Consumer Defensive,Grocery Stores,United States
15069,MRO,MARATHON OIL CORP,Energy,Oil & Gas E&P,United States
17039,CEIX,CONSOL ENERGY INC NEW,Energy,Thermal Coal,United States
76076,CSCO,CISCO SYSTEMS INC,Technology,Communication Equipment,United States
11403,CDNS,CADENCE DESIGN SYSTEMS INC,Technology,Software - Application,United States
18729,CL,COLGATE PALMOLIVE CO,Consumer Defensive,Household & Personal Products,United States
88568,SPTN,SPARTANNASH CO,Consumer Defensive,Food Distribution,United States
11701,IMKTA,INGLES MARKETS INC,Consumer Defensive,Grocery Stores,United States
13356,PSX,PHILLIPS 66,Energy,Oil & Gas Refining & Marketing,United States
76095,HOLX,HOLOGIC INC,Healthcare,Medical Instruments & Supplies,United States
12622,HCA,H C A HEALTHCARE INC,Healthcare,Medical Care Facilities,United States
48653,HUM,HUMANA INC,Healthcare,Healthcare Plans,United States
91606,CPRX,CATALYST PHARMACEUTICALS INC,Healthcare,Biotechnology,United States
88417,ACLS,AXCELIS TECHNOLOGIES INC,Technology,Semiconductor Equipment & Materials,United States
78987,MCHP,MICROCHIP TECHNOLOGY INC,Technology,Semiconductors,United States
18542,CAT,CATERPILLAR INC,Industrials,Farm & Heavy Construction Machinery,United States
89841,CNO,C N O FINANCIAL GROUP INC,Financial Services,Insurance - Life,United States
21020,AAL,AMERICAN AIRLINES GROUP INC,Industrials,Airlines,United States
13936,PVH,P V H CORP,Consumer Cyclical,Apparel Manufacturing,United States
16119,ATKR,ATKORE INC,Industrials,Electrical Equipment & Parts,United States
54704,MOD,MODINE MANUFACTURING CO,Consumer Cyclical,Auto Parts,United States
86783,BKNG,BOOKING HOLDINGS INC,Consumer Cyclical,Travel Services,United States
46886,KLAC,K L A CORP,Technology,Semiconductor Equipment & Materials,United States
10104,ORCL,ORACLE CORP,Technology,Software - Infrastructure,United States
14229,OMF,ONEMAIN HOLDINGS INC,Financial Services,Credit Services,United States
14702,AMAT,APPLIED MATERIALS INC,Technology,Semiconductor Equipment & Materials,United States
13407,META,META PLATFORMS INC,Communication Services,Internet Content & Information,United States
88182,ON,ON SEMICONDUCTOR CORP,Technology,Semiconductors,United States
44943,DIOD,DIODES INC,Technology,Semiconductors,United States
93330,PRI,PRIMERICA INC,Financial Services,Insurance - Life,United States
40539,TJX,T J X COMPANIES INC NEW,Consumer Cyclical,Apparel Retail,United States
10696,FI,FISERV INC,Technology,Information Technology Services,United States
11154,PLAB,PHOTRONICS INC,Technology,Semiconductor Equipment & Materials,United States
13862,TMHC,TAYLOR MORRISON HOME CORP,Consumer Cyclical,Residential Construction,United States
76573,MLI,MUELLER INDUSTRIES INC,Industrials,Metal Fabrication,United States
75510,ADBE,ADOBE INC,Technology,Software - Infrastructure,United States
90319,GOOGL,ALPHABET INC,Communication Services,Internet Content & Information,United States
20190,ABNB,AIRBNB INC,Consumer Cyclical,Travel Services,United States
48486,LRCX,LAM RESH CORP,Technology,Semiconductor Equipment & Materials,United States
89525,CMCSA,COMCAST CORP NEW,Communication Services,Telecom Services,United States
76804,MTG,M G I C INVESTMENT CORP WIS,Financial Services,Insurance - Specialty,United States
57904,AFL,AFLAC INC,Financial Services,Insurance - Life,United States
34817,NUE,NUCOR CORP,Basic Materials,Steel,United States
54148,PHM,PULTE GROUP INC,Consumer Cyclical,Residential Construction,United States
11208,OFG,O F G BANCORP,Financial Services,Banks - Regional,United States
16505,BPOP,POPULAR INC,Financial Services,Banks - Regional,United States
13511,PANW,PALO ALTO NETWORKS INC,Technology,Software - Infrastructure,United States
79909,MHO,M I HOMES INC,Consumer Cyclical,Residential Construction,United States
50876,LLY,LILLY ELI & CO,Healthcare,Drug Manufacturers - General,United States
24766,NOC,NORTHROP GRUMMAN CORP,Industrials,Aerospace & Defense,United States
71175,UNM,UNUM GROUP,Financial Services,Insurance - Life,United States
17144,GIS,GENERAL MILLS INC,Consumer Defensive,Packaged Foods,United States
10516,ADM,ARCHER DANIELS MIDLAND CO,Consumer Defensive,Farm Products,United States
18592,CTVA,CORTEVA INC,Basic Materials,Agricultural Inputs,United States
16600,HSY,HERSHEY CO,Consumer Defensive,Confectioners,United States
89269,CNC,CENTENE CORP DEL,Healthcare,Healthcare Plans,United States
60687,AFG,AMERICAN FINANCIAL GROUP INC NEW,Financial Services,Insurance - Property & Casualty,United States
64390,PGR,PROGRESSIVE CORP OH,Financial Services,Insurance - Property & Casualty,United States
10629,FNB,F N B CORP PA,Financial Services,Banks - Regional,United States
44644,ADP,AUTOMATIC DATA PROCESSING INC,Industrials,Staffing & Employment Services,United States
12052,GD,GENERAL DYNAMICS CORP,Industrials,Aerospace & Defense,United States
21178,LMT,LOCKHEED MARTIN CORP,Industrials,Aerospace & Defense,United States
93096,DG,DOLLAR GENERAL CORP NEW,Consumer Defensive,Discount Stores,United States
43449,MCD,MCDONALDS CORP,Consumer Cyclical,Restaurants,United States
77357,SNPS,SYNOPSYS INC,Technology,Software - Infrastructure,United States
91937,TMUS,T MOBILE U S INC,Communication Services,Telecom Services,United States
26825,K,KELLANOVA,Consumer Defensive,Packaged Foods,United States
32870,HRL,HORMEL FOODS CORP,Consumer Defensive,Packaged Foods,United States
12623,HII,HUNTINGTON INGALLS INDS INC,Industrials,Aerospace & Defense,United States
20395,CVBF,C V B FINANCIAL CORP,Financial Services,Banks - Regional,United States
13323,ENPH,ENPHASE ENERGY INC,Technology,Solar,United States
11955,WM,WASTE MANAGEMENT INC DEL,Industrials,Waste Management,United States
14076,MUSA,MURPHY USA INC,Consumer Cyclical,Specialty Retail,United States
80128,VMI,VALMONT INDUSTRIES INC,Industrials,Conglomerates,United States
87432,A,AGILENT TECHNOLOGIES INC,Healthcare,Diagnostics & Research,United States
90664,DXCM,DEXCOM INC,Healthcare,Medical Devices,United States
90178,ALNY,ALNYLAM PHARMACEUTICALS INC,Healthcare,Biotechnology,United States
19350,DE,DEERE & CO,Industrials,Farm & Heavy Construction Machinery,United States
22779,MSI,MOTOROLA SOLUTIONS INC,Technology,Communication Equipment,United States
77605,BSX,BOSTON SCIENTIFIC CORP,Healthcare,Medical Devices,United States
84827,RMBS,RAMBUS INC,Technology,Semiconductors,United States
77702,SBUX,STARBUCKS CORP,Consumer Cyclical,Restaurants,United States
19561,BA,BOEING CO,Industrials,Aerospace & Defense,United States
12060,GE,GENERAL ELECTRIC CO,Industrials,Specialty Industrial Machinery,United States
85002,SRPT,SAREPTA THERAPEUTICS INC,Healthcare,Biotechnology,United States
56573,ITW,ILLINOIS TOOL WORKS INC,Industrials,Specialty Industrial Machinery,United States
18576,UBER,UBER TECHNOLOGIES INC,Technology,Software - Application,United States
79545,BWA,BORGWARNER INC,Consumer Cyclical,Auto Parts,United States
60871,ADI,ANALOG DEVICES INC,Technology,Semiconductors,United States
89393,NFLX,NETFLIX INC,Communication Services,Entertainment,United States
86580,NVDA,NVIDIA CORP,Technology,Semiconductors,United States
41355,PH,PARKER HANNIFIN CORP,Industrials,Specialty Industrial Machinery,United States
91090,CROX,CROCS INC,Consumer Cyclical,Footwear & Accessories,United States
92402,MSCI,M S C I INC,Financial Services,Financial Data & Stock Exchanges,United States
91068,CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Cyclical,Restaurants,United States
73139,SYK,STRYKER CORP,Healthcare,Medical Devices,United States
88352,ISRG,INTUITIVE SURGICAL INC,Healthcare,Medical Instruments & Supplies,United States
89731,LEN,LENNAR CORP,Consumer Cyclical,Residential Construction,United States
16431,LW,LAMB WESTON HOLDINGS INC,Consumer Defensive,Packaged Foods,United States
79785,NVR,N V R INC,Consumer Cyclical,Residential Construction,United States
20193,AI,C3 AI INC,Technology,Software - Application,United States
91907,SMCI,SUPER MICRO COMPUTER INC,Technology,Computer Hardware,United States
