PERMNO,ticker,company,sector,industry,country
91531,OC,OWENS CORNING NEW,Industrials,Building Products & Equipment,United States
71563,TFC,TRUIST FINANCIAL CORP,Financial Services,Banks - Regional,United States
40125,DXC,D X C TECHNOLOGY CO,Technology,Information Technology Services,United States
20065,CNXC,CONCENTRIX CORP,Technology,Information Technology Services,United States
25487,CAR,AVIS BUDGET GROUP INC,Industrials,Rental & Leasing Services,United States
92432,ENSG,ENSIGN GROUP INC,Healthcare,Medical Care Facilities,United States
29612,AIT,APPLIED INDUSTRIAL TECHS INC,Industrials,Industrial Distribution,United States
93356,SPSC,S P S COMMERCE INC,Technology,Software - Infrastructure,United States
85059,FIX,COMFORT SYSTEMS USA INC,Industrials,Engineering & Construction,United States
16318,ELF,E L F BEAUTY INC,Consumer Defensive,Household & Personal Products,United States
80412,ADC,AGREE REALTY CORP,Real Estate,REIT - Retail,United States
32707,HP,HELMERICH & PAYNE INC,Energy,Oil & Gas Drilling,United States
43123,ATI,A T I INC,Industrials,Metal Fabrication,United States
90126,CYTK,CYTOKINETICS INC,Healthcare,Biotechnology,United States
75342,MTH,MERITAGE HOMES CORP,Consumer Cyclical,Residential Construction,United States
17919,EPRT,ESSENTIAL PROPERTIES RLTY TR INC,Real Estate,REIT - Diversified,United States
92729,JBT,JOHN BEAN TECHNOLOGIES CORP,Industrials,Specialty Industrial Machinery,United States
81220,NSIT,INSIGHT ENTERPRISES INC,Technology,Electronics & Computer Distribution,United States
78038,RDN,RADIAN GROUP INC,Financial Services,Insurance - Specialty,United States
19945,ASO,ACADEMY SPORTS & OUTDOORS INC,Consumer Cyclical,Specialty Retail,United States
17830,RTX,R T X CORP,Industrials,Aerospace & Defense,United States
10145,HON,HONEYWELL INTERNATIONAL INC,Industrials,Conglomerates,United States
48725,UNP,UNION PACIFIC CORP,Industrials,Railroads,United States
87447,UPS,UNITED PARCEL SERVICE INC,Industrials,Integrated Freight & Logistics,United States
85592,PLD,PROLOGIS INC,Real Estate,REIT - Industrial,United States
86111,AMT,AMERICAN TOWER CORP NEW,Real Estate,REIT - Specialty,United States
84769,APH,AMPHENOL CORP NEW,Technology,Electronic Components,United States
19285,CARR,CARRIER GLOBAL CORP,Industrials,Building Products & Equipment,United States
60506,PCAR,PACCAR INC,Industrials,Farm & Heavy Construction Machinery,United States
13688,PCG,P G & E CORP,Utilities,Utilities - Regulated Electric,United States
24205,NEE,NEXTERA ENERGY INC,Utilities,Utilities - Regulated Electric,United States
18411,SO,SOUTHERN CO,Utilities,Utilities - Regulated Electric,United States
90989,CCO,CLEAR CHANNEL OUTDOOR HLDGS NEW,Communication Services,Advertising Agencies,United States
90436,HALO,HALOZYME THERAPEUTICS INC,Healthcare,Biotechnology,United States
18456,SWAV,SHOCKWAVE MEDICAL INC,Healthcare,Medical Devices,United States
92596,IRDM,IRIDIUM COMMUNICATIONS INC,Communication Services,Telecom Services,United States
13244,MTDR,MATADOR RESOURCES CO,Energy,Oil & Gas E&P,United States
91402,GTLS,CHART INDUSTRIES INC,Industrials,Specialty Industrial Machinery,United States
79338,LNW,LIGHT & WONDER INC,Consumer Cyclical,Gambling,United States
12681,STAG,STAG INDUSTRIAL INC,Real Estate,REIT - Industrial,United States
68292,SIGI,SELECTIVE INSURANCE GROUP INC,Financial Services,Insurance - Property & Casualty,United States
20161,CHRD,CHORD ENERGY CORP,Energy,Oil & Gas E&P,United States
30680,CMC,COMMERCIAL METALS CO,Basic Materials,Steel,United States
28345,MUR,MURPHY OIL CORP,Energy,Oil & Gas E&P,United States
84389,SSB,SOUTHSTATE CORP,Financial Services,Banks - Regional,United States
92108,BX,BLACKSTONE INC,Financial Services,Asset Management,United States
19654,SNOW,SNOWFLAKE INC,Technology,Software - Application,United States
18726,CRWD,CROWDSTRIKE HOLDINGS INC,Technology,Software - Infrastructure,United States
