"Stock_PERMNO","nameenddt","ticker","comnam"
13356,"19720","PSX","PHILLIPS 66"
27633,"19720","R","RYDER SYSTEMS INC"
42585,"19720","SJM","SMUCKER J M CO"
66093,"19720","T","A T & T INC"
71563,"19720","TFC","TRUIST FINANCIAL CORP"
70228,"19720","TOL","TOLL BROTHERS INC"
66157,"19720","USB","U S BANCORP DEL"
38703,"19720","WFC","WELLS FARGO & CO NEW"
19561,"19720","BA","BOEING CO"
90664,"19720","DXCM","DEXCOM INC"
10104,"19720","ORCL","ORACLE CORP"
20482,"19720","ABT","ABBOTT LABORATORIES"
61241,"19720","AMD","ADVANCED MICRO DEVICES INC"
84788,"19720","AMZN","AMAZON COM INC"
90215,"19720","CRM","SALESFORCE INC"
49680,"19720","DHR","DANAHER CORP"
26403,"19720","DIS","DISNEY WALT CO"
66181,"19720","HD","HOME DEPOT INC"
59328,"19720","INTC","INTEL CORP"
78975,"19720","INTU","INTUIT INC"
11308,"19720","KO","COCA COLA CO"
91233,"19720","MA","MASTERCARD INC"
13407,"19720","META","META PLATFORMS INC"
10107,"19720","MSFT","MICROSOFT CORP"
89393,"19720","NFLX","NETFLIX INC"
86580,"19720","NVDA","NVIDIA CORP"
75186,"19720","SCHW","SCHWAB CHARLES CORP NEW"
62092,"19720","TMO","THERMO FISHER SCIENTIFIC INC"
93436,"19720","TSLA","TESLA INC"
48725,"19720","UNP","UNION PACIFIC CORP"
87447,"19720","UPS","UNITED PARCEL SERVICE INC"
92611,"19720","V","VISA INC"
89031,"19720","AXON","AXON ENTERPRISE INC"
14179,"19720","AR","ANTERO RESOURCES CORP"
15397,"19720","BLD","TOPBUILD CORP"
21742,"19720","CASY","CASEYS GENERAL STORES INC"
79026,"19720","CHDN","CHURCHILL DOWNS INC"
27334,"19720","CSL","CARLISLE COMPANIES"
80928,"19720","DAR","DARLING INGREDIENTS INC"
79686,"19720","DECK","DECKERS OUTDOOR CORP"
18886,"19720","DT","DYNATRACE INC"
82694,"19720","EME","EMCOR GROUP INC"
52898,"19720","WTRG","ESSENTIAL UTILITIES INC"
36397,"19720","FHN","FIRST HORIZON CORP"
11533,"19720","FICO","FAIR ISAAC CORP"
13527,"19720","FIVE","FIVE BELOW INC"
39571,"19720","GGG","GRACO INC"
32942,"19720","HUBB","HUBBELL INC"
12570,"19720","ITT","I T T INC"
91579,"19720","KBR","K B R INC"
81678,"19720","LECO","LINCOLN ELECTRIC HOLDINGS INC"
87034,"19720","LII","LENNOX INTERNATIONAL INC"
75854,"19720","LSCC","LATTICE SEMICONDUCTOR CORP"
85992,"19720","MANH","MANHATTAN ASSOCIATES INC"
83534,"19720","NBIX","NEUROCRINE BIOSCIENCES INC"
85414,"19720","NLY","ANNALY CAPITAL MANAGEMENT INC"
84032,"19720","NOV","N O V INC"
91531,"19720","OC","OWENS CORNING NEW"
14547,"19720","PCTY","PAYLOCITY HOLDING CORP"
15694,"19720","PEN","PENUMBRA INC"
10200,"19720","RGEN","REPLIGEN CORP"
67847,"19720","RGLD","ROYAL GOLD INC"
65307,"19720","RPM","R P M INTERNATIONAL INC"
80864,"19720","RS","RELIANCE STEEL & ALUMINUM CO"
89506,"19720","SAIA","SAIA INC"
51625,"19720","SCI","SERVICE CORP INTERNATIONAL"
18456,"19720","SWAV","SHOCKWAVE MEDICAL INC"
60580,"19720","TTC","TORO CO"
87006,"19720","UTHR","UNITED THERAPEUTICS CORP"
83011,"19720","WSM","WILLIAMS SONOMA INC"
46068,"19720","WSO","WATSCO INC"
91975,"19720","ACM","A E C O M"
17864,"19720","BJ","B J S WHOLESALE CLUB HLDGS INC"
27422,"19720","CLF","CLEVELAND CLIFFS INC NEW"
90396,"19720","CUBE","CUBESMART"
86719,"19720","EWBC","EAST WEST BANCORP INC"
79094,"19720","JBL","JABIL INC"
81675,"19557","LSI","LIFE STORAGE INC"
14037,"19720","REXR","REXFORD INDUSTRIAL REALTY INC"
16347,"19720","AA","ALCOA CORP"
29209,"19720","ARW","ARROW ELECTRONICS INC"
23063,"19720","AZPN","ASPEN TECHNOLOGY INC NEW"
84519,"19720","CIEN","CIENA CORP"
32803,"19720","DINO","H F SINCLAIR CORP"
12981,"19720","FBIN","FORTUNE BRANDS INNOVATIONS INC"
21608,"19720","GXO","G X O LOGISTICS INC"
13439,"19720","HR","HEALTHCARE REALTY TRUST INC NEW"
85645,"19720","INGR","INGREDION INC"
85246,"19720","JLL","JONES LANG LASALLE INC"
12473,"19720","KNX","KNIGHT SWIFT TRANSPORT HDLGS INC"
84319,"19720","LAD","LITHIA MOTORS INC"
93101,"19720","LEA","LEAR CORP"
39538,"19720","MAT","MATTEL INC"
90790,"19720","MPW","MEDICAL PROPERTIES TRUST INC"
